name,r,g,b,canvas_x,canvas_y,font_size,link
ukrainian classical,29,159,194,303,10972,100,engenremap-ukrainianclassical.html
canadian country,139,141,8,618,6300,103,engenremap-canadiancountry.html
harmonica blues,129,123,30,955,8105,101,engenremap-harmonicablues.html
cameroonian pop,181,133,8,996,4777,100,engenremap-cameroonianpop.html
retro metal,197,110,86,261,5342,101,engenremap-retrometal.html
vegan straight edge,212,88,53,313,5977,100,engenremap-veganstraightedge.html
delta blues,88,139,36,1109,9759,101,engenremap-deltablues.html
neomelodici,170,133,4,635,3850,101,engenremap-neomelodici.html
lovecraftian metal,210,76,147,130,4510,100,engenremap-lovecraftianmetal.html
punjabi,194,117,11,983,4074,102,engenremap-punjabi.html
welsh choir,55,135,42,184,10471,100,engenremap-welshchoir.html
metal colombiano,222,74,96,226,4787,100,engenremap-metalcolombiano.html
spanish black metal,213,61,139,50,4749,100,engenremap-spanishblackmetal.html
indie anthem-folk,111,152,20,524,7392,109,engenremap-indieanthemfolk.html
university choir,43,145,49,182,10550,100,engenremap-universitychoir.html
christian uplift,126,147,26,360,6214,102,engenremap-christianuplift.html
skiffle,142,128,38,933,7494,100,engenremap-skiffle.html
marcha funebre,149,98,122,139,7935,100,engenremap-marchafunebre.html
russian black metal,195,85,145,61,4449,100,engenremap-russianblackmetal.html
icelandic pop,131,141,45,609,5444,102,engenremap-icelandicpop.html
gauze pop,152,144,71,662,3130,103,engenremap-gauzepop.html
munich electronic,179,140,162,1251,641,100,engenremap-munichelectronic.html
deep uplifting trance,209,123,130,759,805,101,engenremap-deepupliftingtrance.html
colombian rock,183,122,27,785,3132,101,engenremap-colombianrock.html
classical tuba,24,166,214,435,10653,100,engenremap-classicaltuba.html
gothenburg indie,148,138,57,475,5469,102,engenremap-gothenburgindie.html
blaskapelle,102,141,144,816,8946,100,engenremap-blaskapelle.html
baltic folk,117,150,59,629,6361,100,engenremap-balticfolk.html
epicore,116,136,190,280,5379,104,engenremap-epicore.html
turntablism,173,117,66,1074,2621,103,engenremap-turntablism.html
acid jazz,159,135,101,1021,2392,104,engenremap-acidjazz.html
miami indie,175,121,44,490,3677,100,engenremap-miamiindie.html
chip hop,170,126,72,842,3368,100,engenremap-chiphop.html
albuquerque indie,144,133,43,581,5108,101,engenremap-albuquerqueindie.html
disco house,202,123,102,1117,636,106,engenremap-discohouse.html
cape town indie,172,132,45,759,2235,101,engenremap-capetownindie.html
deep dub techno,153,139,187,1149,1351,100,engenremap-deepdubtechno.html
danish indie,147,136,72,492,5395,100,engenremap-danishindie.html
sinaloa indie,169,125,62,460,3874,100,engenremap-sinaloaindie.html
deep liquid bass,199,137,175,1091,963,100,engenremap-deepliquidbass.html
broken beat,167,133,101,1102,1499,100,engenremap-brokenbeat.html
chicago house,189,128,124,1214,527,102,engenremap-chicagohouse.html
tech house,183,140,186,1310,364,104,engenremap-techhouse.html
otacore,158,132,109,492,3886,106,engenremap-otacore.html
merida indie,169,128,51,519,3269,100,engenremap-meridaindie.html
doomcore,219,85,155,576,1258,100,engenremap-doomcore.html
video game music,91,145,197,258,6236,105,engenremap-videogamemusic.html
progressive breaks,184,144,203,1098,456,100,engenremap-progressivebreaks.html
laboratorio,77,143,131,435,8790,101,engenremap-laboratorio.html
electro house,208,123,88,855,1051,116,engenremap-electrohouse.html
british soundtrack,66,156,187,261,7878,103,engenremap-britishsoundtrack.html
minimal dubstep,176,139,153,1006,1364,100,engenremap-minimaldubstep.html
nu age,68,148,198,187,8491,101,engenremap-nuage.html
children's music,112,149,20,1040,5371,104,engenremap-childrensmusic.html
post-punk,178,105,67,471,5232,105,engenremap-postpunk.html
canadian electropop,169,139,54,683,1923,102,engenremap-canadianelectropop.html
nerdcore,184,119,32,998,2866,100,engenremap-nerdcore.html
deep soul house,167,141,181,1265,548,100,engenremap-deepsoulhouse.html
chicago punk,220,87,35,319,3788,102,engenremap-chicagopunk.html
neon pop punk,199,115,6,368,2094,105,engenremap-neonpoppunk.html
lezginka,210,120,9,789,2052,100,engenremap-lezginka.html
rap dominicano,197,130,5,1184,2671,103,engenremap-rapdominicano.html
danish choir,29,161,45,202,10738,100,engenremap-danishchoir.html
american choir,41,145,72,166,10714,100,engenremap-americanchoir.html
r&b brasileiro,166,140,13,977,3797,103,engenremap-rbbrasileiro.html
nwothm,220,85,41,235,3650,100,engenremap-nwothm.html
punjabi pop,188,122,9,931,4639,103,engenremap-punjabipop.html
country road,162,136,2,568,3405,115,engenremap-countryroad.html
vancouver punk,220,87,40,292,4240,100,engenremap-vancouverpunk.html
dangdut koplo,180,146,10,794,3255,101,engenremap-dangdutkoplo.html
greek metal,215,93,79,211,3156,100,engenremap-greekmetal.html
jazz orchestra,105,135,95,612,8559,100,engenremap-jazzorchestra.html
remix,225,113,27,789,769,100,engenremap-remix.html
fado,87,158,19,734,8754,101,engenremap-fado.html
jazz trio,78,152,172,911,9444,101,engenremap-jazztrio.html
country blues,77,146,39,1102,9844,101,engenremap-countryblues.html
men's choir,57,131,45,180,10562,100,engenremap-menschoir.html
contemporary country,156,138,2,576,3862,117,engenremap-contemporarycountry.html
swedish rockabilly,204,111,17,632,4788,100,engenremap-swedishrockabilly.html
highlife,171,128,36,1054,5533,101,engenremap-highlife.html
bulgarian metal,206,100,74,258,3526,100,engenremap-bulgarianmetal.html
soca,187,133,5,1091,3570,102,engenremap-soca.html
dembow,203,128,4,1216,2379,102,engenremap-dembow.html
abstract,105,134,176,554,6647,100,engenremap-abstract.html
ambient techno,151,139,194,874,2263,100,engenremap-ambienttechno.html
polish black metal,221,58,125,61,4870,100,engenremap-polishblackmetal.html
psalmen,51,148,199,35,10357,100,engenremap-psalmen.html
liquid funk,215,131,134,893,886,104,engenremap-liquidfunk.html
new weird america,98,146,106,466,8515,102,engenremap-newweirdamerica.html
cumbia pop,189,132,3,967,3248,106,engenremap-cumbiapop.html
covertrance,189,133,79,836,1227,100,engenremap-covertrance.html
electropop,170,136,40,747,2037,124,engenremap-electropop.html
rock kapak,165,131,28,591,3701,101,engenremap-rockkapak.html
new wave,180,115,43,566,3231,112,engenremap-newwave.html
cyberpunk,189,112,128,449,1596,102,engenremap-cyberpunk.html
nepali pop,123,147,61,524,7678,100,engenremap-nepalipop.html
jersey club,182,131,56,1131,1363,100,engenremap-jerseyclub.html
outer hip hop,171,121,42,1065,3194,100,engenremap-outerhiphop.html
coventry indie,182,110,27,535,2279,100,engenremap-coventryindie.html
english renaissance,29,166,105,328,10739,100,engenremap-englishrenaissance.html
experimental hip hop,169,121,59,716,4812,101,engenremap-experimentalhiphop.html
quebec indie,160,131,64,464,4861,102,engenremap-quebecindie.html
munich indie,156,134,43,673,4001,100,engenremap-munichindie.html
austrian hip hop,178,123,26,945,4450,100,engenremap-austrianhiphop.html
rhode island indie,173,113,65,441,6709,100,engenremap-rhodeislandindie.html
iranian experimental,101,137,176,294,7728,100,engenremap-iranianexperimental.html
icelandic jazz,78,156,151,787,8007,100,engenremap-icelandicjazz.html
chamber psych,156,129,89,431,5581,104,engenremap-chamberpsych.html
bulgarian rock,171,130,38,749,2979,100,engenremap-bulgarianrock.html
berlin minimal techno,173,148,178,1315,299,100,engenremap-berlinminimaltechno.html
dusseldorf electronic,174,129,169,1139,1212,100,engenremap-dusseldorfelectronic.html
glitch,125,128,156,642,5297,102,engenremap-glitch.html
deep big room,212,121,91,832,1026,108,engenremap-deepbigroom.html
norwegian experimental,114,128,140,346,7279,100,engenremap-norwegianexperimental.html
college marching band,119,90,167,670,8547,100,engenremap-collegemarchingband.html
german ska,202,114,16,754,3081,101,engenremap-germanska.html
deep eurodance,189,128,67,935,1277,100,engenremap-deepeurodance.html
